date,equity,daily_return,position_shares,entry_price,stop_price,strategy_realized_vol,leverage_mult_today
2023-06-20,561425583.8757339,0.07859542564907729,0.0,,,0.9081047931318079,1.0
2023-06-21,560651462.1029962,-0.001378850189536318,862096.0,125.6525633895874,178.74584259940744,0.900005217441505,1.0
2023-06-22,607024234.7586495,0.08271230129626272,0.0,,,0.9003585809530129,1.0
2023-06-23,607138373.5995873,0.00018803012203161273,880589.0,129.1229116104126,178.74584259940744,0.8925893034210971,1.0
2023-06-26,650543247.7140955,0.07149090883050335,0.0,,,0.8921605315341037,1.0
2023-06-27,650975479.5962247,0.0006644168295466546,939759.0,128.64286788330077,178.74584259940744,0.8798108708591644,1.0
2023-06-28,697437858.6232758,0.07137347025093788,0.0,,,0.8797980175195946,1.0
2023-06-29,696440173.0638969,-0.001430501007427809,1039094.0,128.78288127288818,178.74584259940744,0.8684694010465489,1.0
2023-06-30,749143778.9795789,0.07567571193347367,0.0,,,0.8688529973271353,1.0
2023-07-03,748342599.9191722,-0.0010694596723448413,1158463.0,130.83308932495117,178.74584259940744,0.8549566823412411,1.0
2023-07-05,804413054.8129581,0.07492618340829726,0.0,,,0.8538273348721254,1.0
2023-07-06,804440571.537277,3.420720754609974e-05,1361007.0,128.262825,178.74584259940744,0.8343205763249836,1.0
2023-07-07,872845777.7416375,0.08503450549944147,0.0,,,0.8348241499872797,1.0
2023-07-10,869840650.0844672,-0.0034429079383824224,1480091.0,129.08291432495116,178.74584259940744,0.8181010176773786,1.0
2023-07-11,946051622.0330217,0.08761486594257684,0.0,,,0.8177455064312796,1.0
2023-07-12,946680445.3241131,0.0006646817958413376,1576865.0,130.32302855834962,178.74584259940744,0.7973303694508131,1.0
2023-07-13,1022087277.8697381,0.07965394544492588,0.0,,,0.7973185135222745,1.0
2023-07-14,1022971754.5747106,0.0008653631877857393,1681051.0,134.0734035583496,178.74584259940744,0.7832173663051285,1.0
2023-07-17,1096838377.0693116,0.0722078807789861,0.0,,,0.7821904762614565,1.0
2023-07-18,1096888970.1727087,4.612630671463336e-05,1867583.0,132.72327771453857,178.74584259940744,0.7625549868240453,1.0
2023-07-19,1182406957.9638817,0.07796412409699771,0.0,,,0.7626348464026342,1.0
2023-07-20,1173983465.5667272,-0.007124021336663899,2003753.0,134.08341432495118,178.74584259940744,0.7463512467312153,1.0
2023-07-21,1271487538.306795,0.08305404258227678,0.0,,,0.747646986545089,1.0
2023-07-24,1268333589.3841217,-0.002480518941517351,1969717.0,130.32302855834962,178.74584259940744,0.7348521718898473,1.0
2023-07-25,1366466324.6377296,0.07737139193897669,0.0,,,0.7354538237667625,1.0
2023-07-26,1369979415.1029868,0.0025709308761696636,2264425.0,126.52265313644409,178.74584259940744,0.7235456519588329,1.0
2023-07-27,1484266614.4992568,0.08342256689140015,0.0,,,0.7220003228499549,1.0
2023-07-28,1489900767.0799422,0.0037959168020405,2319332.0,129.7029714416504,178.74584259940744,0.7158091124062979,1.0
2023-07-31,1597542645.6034558,0.07224768313562313,0.0,,,0.7155765836199708,1.0
2023-08-01,1592645313.270609,-0.0030655409082972485,2506961.0,133.563358052063,178.74584259940744,0.7082814192324816,1.0
2023-08-02,1710298820.0560668,0.07387301228033505,0.0,,,0.7090606562163989,1.0
2023-08-03,1713822177.0373445,0.0020600826826051577,2627887.0,127.49275135726928,178.74584259940744,0.7000173536963128,1.0
2023-08-04,1844456351.7849467,0.07622387929034002,0.0,,,0.6997786655568495,1.0
2023-08-07,1846818629.9641032,0.0012807449614464783,2088120.0,141.00410449371338,178.74584259940744,0.6887458363135766,1.0
2023-08-08,1922827722.3201754,0.04115677150037711,0.0,,,0.689275570292921,1.0
2023-08-09,1917846069.2672029,-0.002590795314185268,2246029.0,139.98399822082519,178.74584259940744,0.6719963856656916,1.0
2023-08-10,2009418300.2620597,0.04774743524116398,0.0,,,0.6718135208429322,1.0
2023-08-11,2011685830.4955983,0.001128451071259251,2481371.0,137.41373389587403,178.74584259940744,0.6555228528673039,1.0
2023-08-14,2111463563.7822278,0.049599063518804165,0.0,,,0.6561451831752324,1.0
2023-08-15,2104530408.418804,-0.003283578027273415,2797829.0,140.06400805206297,178.74584259940744,0.6422248106317011,1.0
2023-08-16,2219103556.9604197,0.054441194141593874,0.0,,,0.6436573191073083,1.0
2023-08-17,2214364228.5231786,-0.002135695029813145,3009401.0,135.47355271453858,178.74584259940744,0.6327060720482545,1.0
2023-08-18,2348706102.5980763,0.0606683725940127,0.0,,,0.632458041685211,1.0
2023-08-21,2351538745.581224,0.0012060440342085421,3346849.0,133.75337949371337,178.74584259940744,0.6188321113621658,1.0
2023-08-22,2498601762.4851923,0.06253905753426969,0.0,,,0.6190721505548186,1.0
2023-08-23,2502152683.5716457,0.0014211632841087951,3835325.0,134.51345,178.74584259940744,0.6066467386094667,1.0
2023-08-24,2667457979.2067084,0.06606523123884722,0.0,,,0.60787879072384,1.0
2023-08-25,2670210001.1612124,0.00103170208339054,3946930.0,132.4832482208252,178.74584259940744,0.5968747597435049,1.0
2023-08-28,2849245653.773094,0.06704927797215321,0.0,,,0.5962314404159279,1.0
2023-08-29,2855556209.1035633,0.0022148161644512943,4392626.0,133.3933428833008,178.74584259940744,0.589494776226342,1.0
2023-08-30,3047561087.5162535,0.06723904709022199,0.0,,,0.5886402415063611,1.0
2023-08-31,3062147306.795807,0.004786194225705032,5108209.0,135.0735035583496,178.74584259940744,0.5838822930817472,1.0
2023-09-01,3269595437.6438656,0.06774596714784753,0.0,,,0.5832942486578238,1.0
2023-09-05,3266627997.4728785,-0.0009075863444211185,5333183.0,137.7437687271118,178.74584259940744,0.5797958736501652,1.0
2023-09-06,3487158991.543605,0.06751028713441909,0.0,,,0.5804455468528825,1.0
2023-09-07,3509767956.842818,0.006483491390567586,5862904.0,133.91338389587403,178.74584259940744,0.5777812366880476,1.0
2023-09-08,3748802804.295219,0.06810559854430465,0.0,,,0.5771276429928419,1.0
2023-09-11,3774877839.2541976,0.006955563234508633,6131158.0,138.76387499999998,178.74584259940744,0.5755442101412442,1.0
2023-09-12,3992661017.3058424,0.05769277505803272,0.0,,,0.5737858759815079,1.0
2023-09-13,4016298870.6943727,0.0059203256389845915,6218302.0,140.96409194793702,178.74584259940744,0.56967094973904,1.0
2023-09-14,4226295438.316818,0.05228609084715341,0.0,,,0.567334070225446,1.0
2023-09-15,4210745565.9490385,-0.0036793150395497687,6479398.0,142.70427144165038,178.74584259940744,0.5613812411655968,1.0
2023-09-18,4458457693.40206,0.05882856695407823,0.0,,,0.5620233321267748,1.0
2023-09-19,4450600814.085186,-0.0017622415322008367,6732023.0,138.71386694793702,178.74584259940744,0.5555265760483666,1.0
2023-09-20,4726551326.670364,0.062002979847542106,0.0,,,0.5560446563876523,1.0
2023-09-21,4708288803.932557,-0.003863815597380249,6757974.0,131.9531964416504,178.74584259940744,0.5537123109943368,1.0
2023-09-22,5041394271.680984,0.07074873305779428,0.0,,,0.5549389843592971,1.0
2023-09-25,5041394271.680984,0.0,0.0,,,0.554764245434499,1.0
2023-09-26,5041394271.680984,0.0,0.0,,,0.5543868794977029,1.0
2023-09-27,5041394271.680984,0.0,0.0,,,0.5518935405885596,1.0
2023-09-28,5041394271.680984,0.0,0.0,,,0.5516215440168074,1.0
2023-09-29,5041394271.680984,0.0,0.0,,,0.548646080153347,1.0
2023-10-02,5041394271.680984,0.0,0.0,,,0.5486543601246092,1.0
2023-10-03,5041394271.680984,0.0,0.0,,,0.5410576994480705,1.0
2023-10-04,5041394271.680984,0.0,0.0,,,0.5402026151246503,1.0
2023-10-05,5041394271.680984,0.0,0.0,,,0.5303992182049766,1.0
2023-10-06,5041394271.680984,0.0,0.0,,,0.5305490886951557,1.0
2023-10-09,5041394271.680984,0.0,0.0,,,0.5231287471113621,1.0
2023-10-10,5041394271.680984,0.0,0.0,,,0.5233165634589575,1.0
2023-10-11,5041394271.680984,0.0,0.0,,,0.5179327315954901,1.0
